0,0 VDA Information Security Assessment (DE),3,<b>Welcome to</b>,,,,,,4.1.1
,,,,,,,,,
25.1.3,25.1.3 Stability of outer skin,3,(PT module; no reference to ISO 27001),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.1 apply to all companies which, on their own properties, manufacture, store or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent is the outer skin of the protected buildings constructed such as to prevent removal or opening of outer-skin components using commercially available tools?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Unauthorized access to buildings/security areas where vehicles, components or parts classified as requiring protection are manufactured, processed or stored must be prevented.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ Unauthorized access to buildings/security areas is not possible.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Solid construction (stone, concrete, steel/other metal).
+ Windows and doors in the outer skin are to be built in accordance with RC2 or higher.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.1.4,25.1.4 View and sight protection,3,(PT module; no reference to ISO 27001),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.1 apply to all companies which, on their own properties, manufacture, store or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent is a view and sight protection of defined security areas ensured?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"It must be ensured that unauthorized viewing of vehicles, components or parts classified as requiring protection is prevented.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Unauthorized viewing of vehicles, components or parts classified as requiring protection is not possible.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Sight protection through relevant glass surfaces is ensured.
+ View into defined security areas through open doors/gates/windows is prevented. ",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>zusätzlich bei als schutzbedürftig klassifizierten Fahrzeugen:</u>,,,,,,
,,,+ The spatial situation is also suitable for preventing unauthorized viewing of vehicles classified as requiring protection.,,,,,,
,,,,,,,,,
25.1.5,25.1.5 Protection against unauthorized entry and access control,3,"(Reference to ISO 27001: Control A.11.1.1, A.11.1.2 and A.11.1.3)",1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.1 apply to all companies which, on their own properties, manufacture, store or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent is the protection against unauthorized access regulated by means of access control?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"It must be ensured that all entrances to security areas, where vehicles, components or parts classified as requiring protection are manufactured, processed or stored, are protected against unauthorized access by adequate measures.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ At least one of the following three requirements must be implemented:
 - mechanical lock systems with documented key handover.
 - electronic access control systems with documented assignment of access rights.
 - personal access control with documentation.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>zusätzlich bei als schutzbedürftig klassifizierten Fahrzeugen:</u>,,,,,,
,,,+ The spatial situation is also suitable for preventing unauthorized access to vehicles classified as requiring protection.,,,,,,
,,,,,,,,,
25.1.6,25.1.6 Intrusion monitoring,3,(Reference to ISO 27001: Control A.11.1.2),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.1 apply to all companies which, on their own properties, manufacture, store or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent are the premises to be secured monitored for intrusion?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"It must be ensured that premises where vehicles, components or parts classified as requiring protection are manufactured, processed or stored are monitored for intrusion. The timely alarm processing is ensured.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Intrusion monitoring of the premises to be secured is ensured:
 - an intrusion alarm system exists complying with DIN EN 50131 or conforming to VDS or similar and functioning with alarm tracking to a certified security service or control center (e.g. according to DIN 77200, VdS 3138).
 - or 24/7 guarding by a certified security service.
+ Alarm reaction plans are available.
+ Timely alarm processing is ensured.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.1.7,25.1.7 Documented visitor management,3,(Reference to ISO 27001: Control A.11.1.1),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.1 apply to all companies which, on their own properties, manufacture, store or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent is a documented visitor management in place?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Protection against unauthorized access to security areas where vehicles, components or parts classified as requiring protection are manufactured, processed or stored, including traceable documentation.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Compulsory registration for all visitors.
+ Documented non-disclosure obligation prior to access.
+ Publication of security and visitor regulations.
+ National legislation regarding data protection must be observed.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.1.8,25.1.8 Client separation,3,(PT module; no reference to ISO 27001),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.1 apply to all companies which, on their own properties, manufacture, store or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent is on-site client separation existent?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"In order to ensure protection of the client-specific know-how at all times, a clear separation of clients must be guaranteed. This particularly involves protection against unauthorized viewing and access to areas where vehicles, components or parts classified as requiring protection are processed or stored.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Spatial separation by personal or technical measures is in effect according to the following aspects:
 - clients and/or
 - projects
 - where separation is not in effect, explicit approval by the client is required.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of vehicles classified as requiring protection:</u>,,,,,,
,,,"+ The spatial situation is also suitable for separating clients, when vehicles classified as requiring protection are processed or stored.",,,,,,
,,,,,,,,,
25.2,25.2 Organisational Requirements,,,,,,,,
25.2.1,25.2.1 Non-disclosure obligations,3,(Reference to ISO 27001: Control A.13.2.4),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.2 apply to all companies which manufacture or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent are non-disclosure agreements/obligations existent according to the valid contractual law?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"When transmitting information classified as requiring protection, it must be ensured that external organizations are obliged to meet the information security requirements and to implement the required measures. The necessary legal basis for this obligation is provided by non-disclosure agreements. Hence, it must be ensured that information classified as requiring protection is transmitted only if such a non-disclosure agreement has been entered and is legally effective.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ A non-disclosure agreement:
  - between contractor and client (on a company level)
  - by all employees and project members (personal obligation)
+ National legislation regarding data protection must be observed.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.2.2,25.2.2 Subcontractors,3,"(Reference to ISO 27001: Control A.13.2.4, A.15.1.1, A.15.1.2 and A.15.1.3)",1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.2 apply to all companies which manufacture or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent are requirements for commissioning subcontractors known and fulfilled?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"When involving subcontractors, the minimum requirements for Prototype Protection must be met. ",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Approval by the initial client.
+ Non-disclosure agreement is effective according to the valid contractual law.
  - between contractor and client (on company level)
  - by all employees and project members (personal obligation)
+ Compliance with the security regulations by the initial client is ensured (proof is obtained).
+ Proof of the subcontractor’s compliance with the Minimum Requirements for Prototype Protection (e.g. certificate, attestation) is provided.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.2.3,25.2.3 Awareness,3,(Reference to ISO 27001: Control A.7.2.1 and A.7.2.2),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.2 apply to all companies which manufacture or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent are the employees and project members evidently trained for and made aware of risks associated with the handling of prototypes?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"In trainings/awareness seminars on the subject of prototype protection, employees shall obtain the necessary knowledge and skills for a security-conscious handling of vehicles, components or parts classified as requiring protection. ",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Ensuring that trainings/awareness programs are conducted by the management.
+ Training of employees and project members in the handling of prototypes when entering the project.
+ Regular (at least annual) training of employees in the handling of prototypes.
+ Ensuring the knowledge among employees and project members regarding the respective protection needs and the resulting company-internal measures.
+ Compulsory participation in the trainings and awareness measures for each employee and project member.
+ Execution must be documented.
+ The training concept regarding Prototype Protection is an integral part of the general training concept (see also Control 7.2 Information Security)",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.2.4,25.2.4 Security classification,3,(Reference to ISO 27001: Control A.8.2.2),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.2 apply to all companies which manufacture or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent are security classifications of the project and the resulting protective measures known?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,It must be ensured that the security classification and requirements in relation to the project progress are known to and observed by each project member.,,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Ensuring that the security classification and requirements in relation to the project progress are known to each project member.
+ Consideration of step-by-step plans, measures for secrecy and camouflage, development guidelines.
+ The requirements are considered as a project-related Information Security Requirement (see Controls 6.2 and 18.1 Information Security).",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.2.5,25.2.5 Access control,3,(Reference to ISO 27001: Control A.11.1.2),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.2 apply to all companies which manufacture or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent is a process defined for granting access to defined security areas?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"A process is defined for the protection against unauthorized access to security areas where vehicles, components or parts classified as requiring protection are manufactured, processed or stored.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Responsibilities for granting access are clearly specified and documented.
+ A process for new allocations, changes and withdrawals of access rights is in place.
+ Code of conduct in case of the loss/theft of access control means.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.2.6,25.2.6 Film and photo regulations,3,(Reference to ISO 27001: Control A.11.1.5),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.2 apply to all companies which manufacture or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent are regulations for image recording and handling of created image material existent?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Regulations for recording images of vehicles, components or parts classified as requiring protection must be defined in order to prevent unauthorized creation or transmission of such image material.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Approval procedures for image recording.
+ Regulation for classification/categorization of image material.
+ Secure storage of image material.
+ Secure deletion/disposal of unrequired image material.
+ Secured passing-on/transfer of image material to authorized recipients only.
",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.2.7,25.2.7 Mobile video and photography equipment,3,(Reference to ISO 27001: Control A.11.1.5),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>The requirements described in Control 25.2 apply to all companies which manufacture or are provided for use vehicles, components or parts classified as requiring protection.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent is a process for carrying along and using mobile video and photography devices in(to) defined security areas established?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"A process is defined for carrying along and using mobile video and photography devices in(to) security areas where vehicles, components or parts classified as requiring protection are manufactured, processed or stored. Unauthorized creation or transmission of image material must be prevented.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Regulation for carrying along (e.g. with / without sealing, etc.).
+ Regulation for use (e.g. phone calls, photography, etc.).",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.3,"25.3 Handling of vehicles, components and parts",,,,,,,,
25.3.1,25.3.1 Transport,3,(PT module; no reference to ISO 27001),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<h1>To what extent are transports of vehicles, components or parts classified as requiring protection arranged according to the client's requirements?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"During transport, vehicles, components or parts classified as requiring protection must be protected against unauthorized viewing, unauthorized image recording and access.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ A process for obtaining client-specific requirements for the transport of vehicles, components or parts classified as requiring protection is described and implemented.
+ The security requirements defined by the client are known and observed.
+ The logistics/transport companies explicitly approved by the client are contracted.
+ A process for reporting any security-relevant incidents to the client is described and implemented.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.3.2,25.3.2 Parking and storage,3,(PT module; no reference to ISO 27001),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<h1>To what extent is it ensured that vehicles, components or parts classified as requiring protection are parked/stored in accordance with the client's requirements?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"While being parked/stored, vehicles, components or parts classified as requiring protection must be protected against unauthorized viewing, unauthorized photography and access.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ The client-specific requirements for parking/storage are evidently known and observed.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.4,25.4 Requirements for test vehicles,,,,,,,,
25.4.1,25.4.1 Camouflage,3,(PT module; no reference to ISO 27001),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>A process for obtaining client-specific requirements for the handling of test vehicles classified as requiring protection is described and implemented. The requirements described in this chapter are not relevant to components and parts.
When using one’s own properties, the Controls 25.1, 25.2 and 25.3 must also be verified. When not using one’s own properties, merely the requirements of Controls 25.2 and 25.3 must be met.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent are the predefined camouflage regulations implemented by the project members?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"It must be ensured, that the camouflage regulations are known to each project member and observed in order to guarantee adequate view protection of test vehicles.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The requirements for use of the respective camouflage are known to the project members.
+ Obtaining client approval for changes to the camouflage.
+ A process for reporting any damages to the camouflage is described and implemented.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.4.2,25.4.2 Test and trial ground,3,(PT module; no reference to ISO 27001),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>A process for obtaining client-specific requirements for the handling of test vehicles classified as requiring protection is described and implemented. The requirements described in this chapter are not relevant to components and parts.
When using one’s own properties, the Controls 25.1, 25.2 and 25.3 must also be verified. When not using one’s own properties, merely the requirements of Controls 25.2 and 25.3 must be met.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent are protective measures for approved test and proving grounds observed/implemented?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"In order to maintain an undisturbed and secured testing operation on test and proving grounds, the respective protective measures defined by the client must be observed. ",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ A process for obtaining client-specific requirements for the use of test vehicles classified as requiring protection on test and proving grounds is described and implemented.
+ The following aspects must be known to users of test and proving grounds:
 - A current list of client-approved test and proving grounds.
 - Code of conduct for ensuring the undisturbed test operation.
 - Protective measures defined by the client. These are implemented.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.4.3,25.4.3 Test and trial drives on public roads,3,(PT module; no reference to ISO 27001),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>A process for obtaining client-specific requirements for the handling of test vehicles classified as requiring protection is described and implemented. The requirements described in this chapter are not relevant to components and parts.
When using one’s own properties, the Controls 25.1, 25.2 and 25.3 must also be verified. When not using one’s own properties, merely the requirements of Controls 25.2 and 25.3 must be met.</i>",,,,,,
,,,,,,,,,
,,,<h1>To what extent are protective measures for approved test drives in public observed/implemented?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,It must be ensured that the respective client's requirements for the operation of test vehicles (classified as requiring protection) on public roads are known and observed.,,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ A process for obtaining client-specific requirements for the operation of test vehicles (classified as requiring protection) on public roads is described and implemented.
+ Protective measures defined by the customer are known and observed.
+ Code of conduct in case of special incidents (e.g. breakdown, accident, theft ...).",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.5,25.5 Requirements for events and photo/film productions,,,,,,,,
25.5.1,25.5.1 Presentations and events,3,(Reference to ISO 27001: Control A.11.1.5),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>Client-specific security requirements for events and photo/film shootings involving vehicles, components or parts classified as requiring protection are known to each project member. This must be verified by each company contracted with the planning, preparation or execution of events or photo/film shootings.
When using one’s own properties, the Controls 25.1, 25.2 and 25.3 shall also be verified. When not using one’s own properties, merely the requirements of Controls 25.2 and 25.3 must be met.</i>",,,,,,
,,,,,,,,,
,,,"<h1>To what extent are security requirements for presentations and events involving vehicles, components or parts classified as requiring protection known?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"It must be ensured that the respective client-specific security requirements for presentations and events involving vehicles, components or parts classified as requiring protection are known.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ A process for obtaining client-specific requirements for presentations and events involving vehicles, components or parts classified as requiring protection is described and implemented.
+ Created security concepts agreed with and approved by the client (including organizational, technical, staff-related protective measures).
+ Code of conduct in case of special incidents.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
25.5.2,25.5.2 Film and photo shootings,3,(Reference to ISO 27001: Control A.11.1.5),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<i>Client-specific security requirements for events and photo/film shootings involving vehicles, components or parts classified as requiring protection are known to each project member. This must be verified by each company contracted with the planning, preparation or execution of events or photo/film shootings.
When using one’s own properties, the Controls 25.1, 25.2 and 25.3 shall also be verified. When not using one’s own properties, merely the requirements of Controls 25.2 and 25.3 must be met.</i>",,,,,,
,,,,,,,,,
,,,"<h1>To what extent are the protective measures for film and photo shootings involving vehicles, components or parts classified as requiring protection known?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"It must be ensured that the respective client-specific security requirements for film and photo shootings involving vehicles, components or parts classified as requiring protection are known.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ A process for obtaining client-specific requirements for film and photo shootings involving vehicles, components or parts classified as requiring protection is described and implemented.
+ Proof of approval for the presumably used premises.
+ Created security concepts agreed with and approved by the client (including organizational, technical, staff-related protective measures).
+ Code of conduct in case of special incidents. ",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
100,100 Appendix,3,,,,,,,
,,,,,,,,,
100.1,100.1 Maturity level model,3,<b>Explanation of the maturity level model</b>,,,,,,
,,,,,,,,,
,,,"The maturity level assessment is carried out based on a generic process maturity level model. The maturity level model differentiates between six individual levels:

- Level 0: Incomplete
- Level 1: Performed
- Level 2: Managed
- Level 3: Established
- Level 4: Predictable
- Level 5: Optimizing

Activities are assigned to the single levels which ensure that the results are systematically derived and will be available in the defined quality at the end of the process.

During assessment, conformity with the requirements of the corresponding level shall be objectively demonstrated. This can be done, for example, by means of work products resulting from the processes of the controls or by means of interview statements by persons carrying out the process.",,,,,,
,,,,,,,,,
,,,"<b>Level 0:  Incomplete</b>
The process is not implemented or fails to achieve its process purpose. At this level, there is little or no evidence of any systematic achievement of the process purpose.",,,,,,
,,,,,,,,,
,,,"<b>Level 1:  Performed</b>
- The implemented process achieves its process purpose.
- There is evidence that the intent of the base practice is being performed.
- Work products are produced that provide evidence of process outcomes.",,,,,,
,,,,,,,,,
,,,"<b>Level 2:  Managed</b>
Steuerung der Prozessdurchführung (PA 2.1):
- Die Leistungsziele des Prozesses sind identifiziert.
- Die Durchführung des Prozesses wird geplant und überwacht.
- Die Durchführung des Prozesses wird zur Erfüllung des Planungen angepasst.Control of process implementation (PA 2.1):
- Objectives for the performance of the process are identified.
- Performance of the process is planned and monitored.
- Performance of the process is adjusted to meet plans.
- Responsibilities and authorities for performing the process are defined, assigned and communicated.
- Resources and information necessary for performing the process are identified, made available, allocated and used.
- Interfaces between the involved parties are managed to ensure effective communication and clear assignment
of responsibility.

Management of work products (PA 2.2):
- Requirements for the work products of the process are defined.
- Requirements for documentation and control of the work products are defined.
- Work products are appropriately identified, documented and controlled.
- Work products are reviewed in accordance with planned arrangements and adjusted as necessary to meet requirements.

This includes, among others, the following documents (GWP):
+ Process documentation
+ Process plan
+ Quality plan/records
+ Process implementation records",,,,,,
,,,,,,,,,
,,,"<b>Level 3:  Established</b>
Process definition (PA 3.1):
-  A standard process, including appropriate tailoring guidelines, is defined that describes the fundamental elements that
must be incorporated into a defined process.
- The sequence and interaction of the standard process with other processes are determined.
- Required competencies and roles for performing a process are identified as part of the standard process.
- Required infrastructure and work environment for performing a process are identified as part of the standard process.
- Suitable methods for monitoring the effectiveness and suitability of the process are determined.

Process deployment (PA 3.2):
- A defined process is deployed based on an appropriately selected and/or tailored standard process.
- Required roles, responsibilities and authorities for performing the defined process are assigned and communicated.
- Personnel performing the defined process are competent on the basis of appropriate education, training and experience.
- Required resources and information necessary for performing the defined process are made available, allocated and used.
- Required infrastructure and work environment for performing the defined process are made available, managed and
maintained.
- Appropriate data are collected and analysed as a basis for understanding the behaviour of the process, to demonstrate its
suitability and effectiveness, and to evaluate where continuous improvement of the process can be made.

This includes, among others, the following documents (GWP):
+ Process documentation
+ Process plan
+ Quality records
+ Policies and standards
+ Process implementation records",,,,,,
,,,,,,,,,
,,,"<b>Level 4:  Predictable</b>
Process measurement (PA 4.1):
- Process information needs in support of relevant defined business goals are established.
- Process measurement objectives are derived from process information needs.
- Quantitative objectives for process performance in support of relevant business goals are established.
- Measures and frequency of measurement are identified and defined in line with process measurement objectives and
quantitative objectives for process performance.
- Results of measurement are collected, analysed and reported in order to monitor the extent to which the quantitative
objectives for process performance are met.
- Measurement results are used to characterise process performance.

Process control (PA 4.2):
- Analysis and control techniques are determined and applied where applicable.
- Control limits of variation are established for normal process performance.
- Measurement data are analysed for special causes of variation.
- Corrective actions are taken to address special causes of variation.
- Control limits are re-established (as necessary) following corrective action.

This includes, among others, the following documents (GWP):
+ Process documentation
+ Process control plan
+ Process improvement plan
+ Process measurement plan
+ Process implementation records",,,,,,
,,,,,,,,,
